date,rain_mm,temp_c,pet_mm,api7_mm,smi,doy,month,runoff_mm
2023-01-01,4.484736517071703,23.202220669358574,6.095495469480505,0.0,0.0,1,1,0.0
2023-01-02,0.5401084514698937,24.53456506311757,7.7675002256233485,4.484736517071703,0.0014402892039197168,2,1,3.012772684228679
2023-01-03,3.5255332876772876,23.90231585407785,7.206224493940395,3.6794240134200855,0.009977537782040654,3,1,0.9937161317355205
2023-01-04,4.363860659621492,24.57854401146107,7.698715186881824,6.101130097071348,0.015627976871806906,4,1,1.650011170050171
2023-01-05,3.6044449783470154,23.955406488083824,6.835638920947949,8.634651727571436,0.015863044024314803,5,1,0.6938743320534922
2023-01-06,2.6703896667899594,25.025064635840504,7.869531483441463,9.64870118764702,0.013466256721165814,6,1,2.256569658185002
2023-01-07,0.0,24.415874485461423,6.959564191721601,9.424480498142874,0.005386502688466326,7,1,0.0
2023-01-08,3.962373364456348,24.111235961191753,6.550915414693221,6.597136348700011,0.012720930047270125,8,1,0.0
2023-01-09,7.786646703667407,24.92134274775758,7.854347408317159,8.580368808546355,0.033214518438450864,9,1,3.385916124837684
2023-01-10,0.0,23.010759825796306,6.679565277957038,13.792904869649856,0.013285807375380347,10,1,0.0
2023-01-11,0.5566442595952901,24.602900912125317,7.988002295741353,9.655033408754898,0.0067987076424062464,11,1,2.82866968321789
2023-01-12,3.203970194758971,26.44163504346512,7.726017721130985,7.315167645723719,0.011263403576319754,12,1,1.4142929337643808
2023-01-13,2.5029649040156774,24.910357937631318,7.541447437824115,8.324587546765574,0.011179934507903043,13,1,0.0
2023-01-14,0.8544277213420404,24.98045289982494,7.516103973540565,8.33017618675158,0.006750447726739992,14,1,0.0
2023-01-15,6.205708104410867,26.612016802881513,8.004604424458389,6.685551052068146,0.019248734035791647,15,1,6.390787558163808
2023-01-16,15.141303120875747,26.087115469891238,7.8133869055929726,10.885593840858569,0.08893720721925807,16,1,2.7064341544541213
2023-01-17,10.558634781192218,27.203573983441082,8.373143025500962,22.761218809476745,0.12583553365853567,17,1,3.5631852296970705
2023-01-18,2.47625502663765,26.517459612712045,8.768583230092606,26.491487947825938,0.10726956758241625,18,1,4.9369374855755135
2023-01-19,1.2988895206370479,26.126259966596937,7.646639324579038,21.020296590115805,0.08534227375501374,19,1,2.2173882571317716
2023-01-20,3.2905506117423413,25.439596617805197,8.706122338257545,16.013097133718112,0.07245478848026583,20,1,4.3436852135273805
2023-01-21,2.706041624083628,24.672570859878682,7.507399690830999,14.49971860534502,0.060465467210832693,21,1,1.780330560373046
2023-01-22,3.94682824335892,27.357607185331812,8.671973442913593,12.855844647825142,0.052089761728237795,22,1,0.0
2023-01-23,5.414880263616295,28.14637128769076,8.946664269594484,12.94591949683652,0.05240230640730183,23,1,5.352123545575626
2023-01-24,6.383847249725267,26.115745069604966,8.027417805233263,14.477023911401858,0.06285161685120388,24,1,2.713385370874755
2023-01-25,4.569658031071658,29.038974251465582,8.721033911838422,16.517763987706566,0.05843186807766125,25,1,3.410673922077175
2023-01-26,3.384391183155987,27.091693640444607,8.49183818447534,16.132092822466255,0.04702712322746647,26,1,5.719135570165942
2023-01-27,6.138697894953143,28.92480366819391,9.92240467028746,14.676856158882366,0.04826215717933758,27,1,0.5112133293624932
2023-01-28,7.030071698788702,28.183816809185206,8.991515692425342,16.412497206170798,0.05916323906822756,28,1,0.0
2023-01-29,10.144674041847715,26.44859475936329,8.20860267206267,18.51881974310826,0.09395998865896166,29,1,2.7275165500172256
2023-01-30,1.7296778511892383,27.09356237379988,8.870341509823287,23.107847862023497,0.07000980829426343,30,1,1.3838799595339903
2023-01-31,14.439921028250351,27.73307856626379,8.521905412651877,17.905171354605685,0.1321883268319916,31,1,5.338146176762332
2023-02-01,3.8130857393410853,26.936649883170567,8.730785701244596,26.973540976474332,0.12268575562262048,32,2,0.5917603757797933
2023-02-02,4.84539417362788,26.84326909406386,7.957902769761914,22.694564422873114,0.1231567723677587,33,2,0.0
2023-02-03,2.0848240644960914,27.246488198449015,9.235137942066453,20.73158926963906,0.10011504769613348,34,2,0.0
2023-02-04,2.056103185446873,28.607098637639915,9.371299870950743,16.59693655324343,0.07633720278197634,35,2,2.898171198660952
2023-02-05,4.33217929077321,28.518481592830536,9.030318879744863,13.673958772717274,0.06909712253481828,36,2,3.1940863532998134
2023-02-06,2.7899542232821704,27.317994716768244,8.93056278693706,13.903950431675302,0.051974566208951176,37,2,0.7519078563920496
2023-02-07,5.229525523829537,27.60692823164288,9.296019100931327,12.522719525454882,0.04965399329742278,38,2,5.121280744935549
2023-02-08,2.3449428437439295,28.459682292969926,8.660271399226074,13.995429191647954,0.03064585999214468,39,2,2.4923257524592564
2023-02-09,1.9943655235224118,29.262769613791484,8.636733389108228,12.141743277897497,0.017576652059584308,40,2,3.452749476769517
